"mmsi","basedatetime","lat","lon","sog","cog","heading","vesselname","imo","callsign","vesseltype","status","length","width","draft","cargo","transceiverclass"
0,"2020-01-22 22:02:22",20.2327,-158.14066,6.1,197.6,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
11,"2020-01-25 22:44:34",27.29226,-90.96785,0,171.2,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
0,"2020-01-30 12:22:19",18.4595,-66.09017,0.1,271,267,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-30 12:22:24",47.55395,-122.65431,0,227.9,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 12:58:30",47.55396,-122.65429,0,268.9,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-13 02:29:18",29.54187,-90.12948,0.2,94.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-09 05:06:36",29.54304,-90.12952,0.2,274.6,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-21 10:19:20",48.65219,-123.44906,0,63,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-09 06:03:37",29.54305,-90.12955,0.1,273.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 17:07:13",47.54928,-122.64799,0.4,0.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-30 12:23:09",27.2924,-90.96796,0.1,165.5,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-30 12:23:34",47.55398,-122.6543,0,235.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 10:21:20",48.65219,-123.44906,0,206.9,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:22:31",48.65219,-123.44906,0,49.6,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:24:50",48.65219,-123.44906,0,184.8,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-28 12:59:50",47.55396,-122.6543,0,272.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-09 05:42:37",29.54304,-90.12952,0.1,133.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-30 12:24:55",47.55396,-122.65432,0,238.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 12:25:20",18.45953,-66.09009,0.1,66.2,267,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-28 13:00:09",47.55396,-122.6543,0,272.9,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:01:20",47.55396,-122.65432,0,270.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-30 12:26:34",47.55396,-122.65434,0,235.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-30 12:27:54",47.55398,-122.65435,0,235.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 22:03:23",20.23099,-158.14113,6.6,187.5,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-16 21:11:20",29.54308,-90.13013,0.2,211.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-21 10:26:00",48.65219,-123.44906,0,231.1,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:27:12",48.65219,-123.44906,0,60.9,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-09 05:09:39",29.54308,-90.12954,0.1,198.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-09 04:24:36",29.54308,-90.1295,0.2,274.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 13:02:31",47.55398,-122.65434,0,274.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:03:40",47.55397,-122.65429,0,277.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:04:51",47.55398,-122.6543,0,275.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 22:04:24",20.22926,-158.14156,6.1,195.1,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-14 23:59:19",29.54094,-90.12956,0,281.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 17:08:24",47.54936,-122.64795,0.4,35.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 10:29:20",48.65219,-123.44906,0,17.6,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:30:21",48.65219,-123.44906,0,237.4,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-09 06:06:37",29.54305,-90.12947,0.2,87.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 17:09:33",47.54944,-122.64781,0.4,26.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:06:00",47.554,-122.6543,0,274.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:07:11",47.55396,-122.65426,0,273.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 12:28:19",18.4595,-66.09017,0,137,267,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-30 12:29:54",47.55397,-122.65435,0,235.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 17:11:23",47.54967,-122.64772,0.6,36.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-09 06:09:36",29.54305,-90.12954,0.1,267.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 22:05:53",20.22678,-158.14224,6.2,195.6,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-09 05:12:36",29.54309,-90.12946,0.1,69.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-11 02:58:45",29.55863,-90.13397,0,267.4,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 13:08:20",47.55396,-122.65433,0,277.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:09:29",47.55395,-122.65426,0,277,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:10:40",47.554,-122.65425,0,290.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-09 04:27:37",29.54305,-90.12953,0.2,151.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-09 05:45:37",29.54305,-90.12946,0.2,166.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-30 12:31:20",18.45953,-66.09008,0.1,329.3,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
0,"2020-01-21 10:33:02",48.65219,-123.44906,0,55.2,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:34:41",48.65219,-123.44906,0,228.6,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 22:06:54",20.22509,-158.14278,6,198.4,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
0,"2020-01-22 22:07:56",20.22331,-158.14326,6,199.4,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-11 03:01:46",29.55864,-90.13397,0,267.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-09 05:48:37",29.54306,-90.12959,0.1,212.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 13:11:49",47.55398,-122.6543,0,292.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:12:59",47.55394,-122.65427,0,308.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:14:11",47.55394,-122.6543,0,309.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-30 12:32:54",47.55394,-122.65433,0,239.9,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 17:12:32",47.54981,-122.64761,0.4,0.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 12:34:19",18.4595,-66.09017,0.1,94,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-30 12:35:05",47.55395,-122.65432,0,244.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-30 12:35:12",27.29227,-90.96792,0,187,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
12,"2020-01-15 00:02:18",29.54093,-90.12949,0.2,85.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 17:13:42",47.54993,-122.64764,0.4,359,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 17:14:52",47.55007,-122.64749,0.5,43,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 10:35:50",48.65219,-123.44906,0,64.2,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:37:00",48.65219,-123.44906,0,288,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-30 12:36:15",47.55395,-122.65434,0,249.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 12:37:19",18.45953,-66.09009,0,330.8,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-30 12:37:25",47.55397,-122.65438,0,247.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 10:38:31",48.65219,-123.44906,0,45.9,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-09 04:30:36",29.54306,-90.12952,0.1,245.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 17:16:03",47.5502,-122.6474,0.4,14.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 22:09:04",20.22143,-158.14388,6.4,197.7,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-16 21:17:19",29.54302,-90.13012,0.2,167.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-09 06:54:37",29.54302,-90.12947,0.1,309.7,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 13:15:19",47.55396,-122.65427,0,308.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:16:30",47.55394,-122.6543,0,308.3,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-28 13:16:54",27.29232,-90.96798,0.1,208,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-28 13:17:39",47.55396,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 10:39:42",48.65219,-123.44906,0,81.5,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:40:50",48.65219,-123.44906,0,78,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-09 05:51:37",29.54306,-90.12944,0,88.4,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 17:17:23",47.55032,-122.64732,0.5,35.2,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 22:10:28",20.21903,-158.14459,6.3,197.4,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
0,"2020-01-22 22:11:29",20.21737,-158.14513,6.5,191.4,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-15 00:05:18",29.54093,-90.12953,0.1,252.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 22:12:30",20.21562,-158.14565,6.3,197.5,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-11 03:04:45",29.55862,-90.13396,0,271.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 13:18:51",47.55396,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:20:00",47.55395,-122.65434,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:21:10",47.55397,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-13 02:44:21",29.54183,-90.12954,0.2,129.4,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-30 12:40:20",18.45953,-66.09009,0.1,334.5,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-30 12:40:35",47.55394,-122.65434,0,246.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 10:44:11",48.65219,-123.44906,0,174,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:45:20",48.65219,-123.44907,0,48.6,76,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-26 17:18:42",47.55052,-122.64726,0.6,338.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-11 03:07:45",29.55863,-90.13394,0,278.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 13:22:19",47.55397,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:23:30",47.55399,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:24:40",47.554,-122.65435,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-30 12:42:05",47.55397,-122.65437,0,250.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 17:20:52",47.55093,-122.64705,1,359.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 22:13:59",20.21309,-158.14644,5.6,192.4,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
11,"2020-01-25 23:11:35",27.29231,-90.96785,0,262.6,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
12,"2020-01-09 06:21:37",29.54303,-90.12953,0.2,273.6,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-26 17:21:54",47.55117,-122.64699,0.6,14.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-26 17:22:40",19.26121,-157.15562,2.1,194.8,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
8,"2020-01-26 17:23:04",47.55029,-122.64714,8.4,164.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-26 17:23:41",19.26061,-157.15501,4.2,70.5,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
8,"2020-01-26 17:24:14",47.54893,-122.6462,1.4,95.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-26 17:24:42",19.26068,-157.15355,4.6,86.6,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-09 05:57:36",29.54304,-90.12952,0.2,268,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-28 13:25:50",47.55399,-122.65435,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:27:10",47.55399,-122.65436,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-16 21:20:18",29.54305,-90.13013,0.3,207.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-21 10:48:30",48.65218,-123.44906,0,125.8,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 22:15:07",20.21117,-158.14702,6.1,197.4,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
0,"2020-01-22 22:16:31",20.20877,-158.14775,6.3,192.5,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-11 03:10:47",29.55862,-90.13394,0,290.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-21 10:50:30",48.65218,-123.44906,0,131.2,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-15 00:14:18",29.54094,-90.12949,0.1,101.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-30 12:43:14",47.55395,-122.65437,0,250.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
11,"2020-01-30 12:44:08",27.29234,-90.96796,0.1,194,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-28 13:28:20",47.55398,-122.65437,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:29:29",47.55397,-122.65434,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:30:40",47.55397,-122.65433,0.1,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-13 02:53:21",29.54186,-90.12962,0.1,285.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-22 22:18:33",20.20526,-158.14883,6.2,202.9,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
0,"2020-01-22 22:19:37",20.20344,-158.14946,6.2,196.3,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
12,"2020-01-09 07:00:36",29.54304,-90.12944,0.1,73.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
8,"2020-01-30 12:45:24",47.55396,-122.65436,0,251.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-30 12:46:20",18.45953,-66.09009,0,252.1,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-26 17:25:22",47.54914,-122.64581,0.8,26.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-26 17:26:33",47.54935,-122.64549,0.8,55.4,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 10:51:42",48.65218,-123.44906,0,223.3,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:54:50",48.65219,-123.44906,0,30.6,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-28 13:31:50",47.55397,-122.65434,0.1,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:32:59",47.55396,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 10:56:11",48.65219,-123.44906,0,68.9,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:57:42",48.65219,-123.44906,0,90.8,74,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 10:59:00",48.65219,-123.44906,0,189.5,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-13 02:56:21",29.54186,-90.12949,0.1,330.8,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-16 21:26:19",29.54306,-90.13015,0.2,11.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-26 17:27:14",19.26101,-157.14989,5.5,93.6,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
8,"2020-01-26 17:27:43",47.54957,-122.64526,0.8,27,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-26 17:28:22",19.26111,-157.14825,4.2,77,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
8,"2020-01-30 12:46:55",47.55394,-122.65434,0,253.1,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-30 12:48:06",47.55396,-122.65434,0,256.6,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-22 22:20:38",20.20174,-158.14993,6.3,194.5,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
8,"2020-01-30 12:49:14",47.55395,-122.65438,0,257.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:34:10",47.55398,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:35:21",47.55396,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-26 17:29:23",19.26128,-157.14667,6.8,79.4,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
8,"2020-01-26 17:30:03",47.54997,-122.64473,0.8,19.5,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-15 00:17:21",29.54094,-90.12952,0.1,268.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-13 02:59:18",29.54189,-90.12961,0.2,292.9,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-21 11:01:00",48.65219,-123.44906,0,228.5,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-09 06:27:38",29.543,-90.12957,0.1,279,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-26 17:30:24",19.26153,-157.14478,5.9,79.1,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
0,"2020-01-26 17:31:25",19.2618,-157.14285,6.9,87.7,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
8,"2020-01-26 17:32:03",47.5504,-122.64431,0.9,19.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-11 03:16:45",29.558651,-90.13399,0,293.3,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-21 11:02:12",48.65219,-123.44906,0,281.8,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-09 07:03:36",29.54306,-90.1296,0.1,240.7,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-21 11:03:50",48.65219,-123.44906,0,175.6,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 22:22:09",20.19914,-158.15076,6.5,200.3,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
0,"2020-01-21 11:10:11",48.65219,-123.44906,0,317.7,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
8,"2020-01-28 13:36:29",47.55396,-122.65434,0.1,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:37:39",47.55396,-122.65434,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-09 06:30:36",29.54303,-90.12949,0.2,86.5,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-28 13:38:41",18.43967,-67.79667,20.2,86,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
8,"2020-01-28 13:38:49",47.55396,-122.65433,0.1,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
8,"2020-01-28 13:40:00",47.55397,-122.65433,0,260.7,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
12,"2020-01-11 03:19:47",29.55863,-90.13398,0,291.4,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-21 11:05:12",48.65219,-123.44906,0,317.7,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-22 22:23:41",20.19651,-158.1516,5.8,200.6,511,"PENELOPE ROSE","IMO0000101","PENEOPE",30,\N,21,6,0.8,0,"B"
0,"2020-01-21 11:11:30",48.65219,-123.44906,0,59.7,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
0,"2020-01-21 11:12:31",48.65219,-123.44906,0,167.5,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
12,"2020-01-11 03:22:45",29.55867,-90.134,0,299.6,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-09 07:06:38",29.54301,-90.12949,0.2,204.1,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
12,"2020-01-09 07:45:37",29.54299,-90.12948,0,108.2,511,"CLETUS","IMO0000000",\N,37,\N,20,6,\N,\N,"B"
0,"2020-01-30 12:52:19",18.4595,-66.09017,0,36,268,"PENELOPE ROSE","IMO0000101","PENEOPE",30,5,21,6,0.8,0,"A"
11,"2020-01-30 12:53:13",27.29227,-90.96786,0,195.5,511,\N,\N,\N,\N,5,\N,\N,\N,\N,"A"
8,"2020-01-30 12:53:16",47.55399,-122.6544,0,265.8,511,\N,\N,\N,\N,0,\N,\N,\N,\N,"A"
0,"2020-01-21 11:06:20",48.65219,-123.44906,0,147.4,75,"PENELOPE ROSE","IMO0000101","PENEOPE",30,15,21,6,0.8,0,"A"
